0124	0000000857-002
0125	0000000048-001
0126	0000000044-002
1-1401	0000000253-001
1-1403	0000001005-002
1-1404	0000000024-001
1-1405	0000000028-001
1-1406	0000000030-001
1-1408	0000000117-001
1-1409	0000000151-001
1-1410	0000000152-001
1-1411	0000001454-002
1-1412	0000000137-001
1-1413	0000000164-001
1-1414	0000000178-001
1-1418	0000000187-001
1-1420	0000000184-001
1-1422	0000000213-001
1-1423	0000000207-001
1-1424	0000000211-002
1-1426	0000000222-001
1-1428	0000000212-002
1-1430	0000000266-001
1-1432	0000000287-001
1-1436	0000000323-001
1-1440	0000000358-001
1-1441	0000000343-002
1-1442	0000000374-001
1-1444	0000000378-001
1-1445	0000000164-004
1-1446	0000000404-001
1-1447	0000000425-003
1-1448	0000000431-002
1-1449	0000000424-001
1-1450	0000000432-001
1-1454	0000000503-001
1-1456	0000000519-003
1-1457	0000008314-003
1-1458	0000000541-001
1-1460	0000000551-001
1-1462	0000000580-001
1-1463	0000000592-001
1-1464	0000000587-001
1-1465	0000000620-001
1-1467	0000000648-002
1-1468	0000000647-001
1-1470	0000000651-001
1-1471	0000000669-003
1-1472	0000000655-002
1-1473	0000000668-001
1-1474	0000000678-001
1-1475	0000000678-002
1-1477	0000000704-001
1-1478	0000000740-002
1-1479	0000000747-001
1-1480	0000000748-001
1-1481	0000000758-002
1-1482	0000000773-001
1-1483	0000000778-001
1-1484	0000000789-001
1-1485	0000000940-002
1-1489	0000000905-001
1-1490	0000000893-001
1-1491	0000000892-001
1-1494	0000000936-001
1-1502	0000000935-001
1-1503	0000000949-001
1-1505	0000000973-001
1-1506	0000000968-001
1-1507	0000000977-001
1-1508	0000000967-001
1-1509	0000001011-001
1-1510	0000000961-002
1-1512	0000000971-002
1-1513	0000001013-001
1-1515	0000001049-002
1-1516	0000001064-001
1-1517	0000001056-001
1-1518	0000001073-001
1-1519	0000001088-001
1-1521	0000001096-001
1-1522	0000001072-002
1-1523	0000001094-001
1-1525	0000001097-001
1-1526	0000001118-001
1-1529	0000001125-001
1-1530	0000001129-001
1-1532	0000001139-001
1-1533	0000001170-001
1-1536	0000001184-001
1-1541	0000001207-001
1-1542	0000001226-002
1-1548	0000001235-001
1-1549	0000001258-001
1-1551	0000001253-001
1-1552	0000001247-001
1-1553	0000003728-002
1-1555	0000001274-002
1-1556	0000001296-001
1-1557	0000001345-002
1-1558	0000001279-002
1-1559	0000001311-001
1-1560	0000001318-001
1-1561	0000001312-002
1-1562	0000001316-002
1-1566	0000001345-001
1-1568	0000001352-001
1-1571	0000001377-001
1-1572	0000001381-001
1-1573	0000001423-001
1-1574	0000001433-001
1-1576	0000001469-002
1-1577	0000001454-001
1-1579	0000001464-001
1-1580	0000001487-001
1-1581	0000001503-001
1-1582	0000001501-001
1-1584	0000001507-001
1-1586	0000001527-001
1-1589	0000001523-001
1-1590	0000001536-001
1-1592	0000001564-001
1-1594	0000000596-001
1-4752	0000000835-001
1-4755	0000001607-002
1-4756	0000001631-001
1-4757	0000001662-001
1-4758	0000001661-002
1-4759	0000004237-004
1-4760	0000001710-001
1-4761	0000001713-002
