〓〓	0000000342-001	0000001603-002	0000004077-003	0000004077-007	0000006054-001	0000006214-003	0000007127-007
〓〓如	0000008498-003
〓一籌	0000000002-329
〓不〓	0000006810-003
〓亭	0000006054-007
〓人	0000000342-002	0000007127-005
〓仏会	0000004077-005
〓仏會	0000004077-005
〓仮虎威	0000004296-015
〓余	0000001567-001
〓佛会	0000004077-005
〓佛會	0000004077-005
〓來	0000003019-002	0000007133-002
〓假虎威	0000004296-015
〓去	0000006353-001
〓台	0000006054-005
〓喜	0000008498-002
〓嗷	0000007043-002
〓囂	0000007043-002
〓園	0000004077-001
〓墓	0000006972-005
〓夫	0000006054-008
〓娛	0000002447-001
〓娯	0000002447-001
〓媚	0000004296-009	0000006972-004
〓宇	0000004507-001
〓屈	0000006606-001
〓属	0000005574-001
〓屬	0000005574-001
〓市	0000007127-003
〓布	0000008226-008
〓帙	0000006054-006
〓帯	0000008226-007
〓帶	0000008226-007
〓廩	0000001986-001
〓弦之佩	0000008226-002
〓徳	0000002144-022
〓心	0000002447-002
〓怛	0000002404-002
〓息	0000001603-003
〓悦	0000006972-001
〓惑	0000004296-013
〓惰	0000005136-002
〓敖	0000007043-002
〓木	0000004077-006
〓来	0000003019-002	0000007133-002
〓柔	0000008226-005
〓棟	0000004507-002
〓棱	0000006810-002
〓楛	0000005136-001
〓死首丘	0000004296-014
〓漑	0000004077-002
〓牘	0000006810-001
〓狸	0000004296-011
〓狼	0000004296-012
〓獄	0000002000-001
〓環天下	0000007388-003
〓疑	0000004296-002
〓疑逡巡	0000004296-003
〓白裘	0000004296-008
〓益	0000004727-006
〓稜	0000006810-002
〓緥	0000005574-002
〓編三絶	0000008226-009
〓者	0000003019-001
〓肝胆	0000005818-008
〓肝膽	0000005818-008
〓育	0000001603-001	0000007133-001
〓胡	0000007127-002
〓脂	0000008226-004
〓臨	0000007133-003
〓臭	0000004296-006
〓臺	0000006054-005
〓舎	0000002000-002
〓船	0000007127-006
〓蒼	0000006214-001
〓蕩	0000006214-002
〓虞如	0000008498-003
〓衒	0000007127-001
〓袴布被	0000008226-003
〓裘	0000004296-004
〓裘三十年	0000004296-005
〓褓	0000005574-002
〓角鳳觜	0000008859-002
〓言	0000006972-002
〓説	0000008498-001
〓諂	0000006972-003
〓謠	0000007043-003
〓謡	0000007043-003
〓譁	0000007043-001
〓豎	0000007127-004
〓貉	0000004296-001
〓跡	0000007388-001
〓迹	0000007388-001
〓酷	0000002404-001
〓閣	0000006054-002
〓非	0000008163-044
〓革	0000008226-001
〓頂	0000004077-004
〓餘	0000001567-001
〓香	0000006054-003
〓駄天	0000008226-006
〓魅	0000004296-010
〓鮒之急	0000007388-002
〓鵲楼	0000008831-001
〓鵲樓	0000008831-001
〓黃	0000006054-004
〓黄	0000006054-004
〓鼠	0000004296-007
アア	0000000072-006	0000000967-001	0000001033-004	0000001041-005	0000001041-006	0000001041-007	0000001095-002	0000002889-005	0000002889-006	0000004112-026	0000004319-002	0000004319-006	0000007994-001
アアツ	0000008731-001
アイ	0000007994-002
アイアイ	0000000915-001	0000001231-001	0000001231-002	0000003018-001	0000006395-001	0000008149-001	0000008154-001
アイアク	0000005100-001
アイイ	0000000915-002	0000006395-002
アイイク	0000002307-001
アイウツ	0000006395-002
アイエツ	0000000915-003
アイエン	0000000915-004
アイオイ	0000004760-016
アイオン	0000000915-005
アイカ	0000000915-006
アイカウ	0000001473-002	0000002307-008	0000002307-009	0000005100-002	0000007993-003	0000008048-003
アイカウトウ	0000000915-013
アイカン	0000000915-007	0000000915-008	0000001473-001
アイガウ	0000000915-015
アイガン	0000000915-009	0000002307-002
アイキ	0000001095-001	0000002307-003
アイキコツリツ	0000000915-010
アイキュウ	0000008048-001
アイキョウ	0000000915-011	0000002307-004	0000002307-005	0000007993-002	0000008048-002
アイギョウ	0000002307-005
アイギン	0000000915-012
アイクチ	0000000852-009
アイクヮン	0000000915-008	0000001473-001
アイグヮン	0000000915-009	0000002307-002
アイケイ	0000002307-005
アイケウ	0000002307-004
アイケフ	0000007993-002	0000008048-002
アイコ	0000002307-006
アイコウ	0000000915-014	0000001473-002	0000002307-008	0000002307-009	0000005100-002	0000007993-003	0000008048-003
アイコウトウ	0000000915-013
アイコク	0000000915-016	0000002307-010
アイコン	0000005100-003
アイゴ	0000002307-007
アイゴウ	0000000915-015
アイサイ	0000007993-005
アイサウ	0000005100-005
アイサツ	0000002599-001
アイシ	0000000915-017	0000000915-018	0000000915-020	0000002307-011
アイシウ	0000000915-022
アイシガウチク	0000000915-019
アイシゴウチク	0000000915-019
アイシフ	0000002307-013
アイシャウ	0000000915-025
アイシュウ	0000000915-022	0000002307-013
アイショウ	0000000915-024	0000000915-025	0000002307-014	0000008048-004
アイシン	0000002307-016
アイジ	0000000915-021	0000002599-002
アイジツ	0000002307-012	0000003018-002
アイジャウ	0000000915-026	0000002307-015
アイジャク	0000002307-023
アイジュツ	0000000915-023
アイジョウ	0000000915-026	0000002307-015
アイジン	0000001231-003	0000002307-017
アイセウ	0000000915-024	0000008048-004
アイセキ	0000000915-027	0000002307-018
アイセツ	0000000915-028
アイゼン	0000002307-019	0000006395-003
アイゼンミャウワウ	0000002307-020
アイゼンミョウオウ	0000002307-020
アイソ	0000000915-029	0000002307-021
アイソウ	0000002307-021	0000005100-005
アイゾウ	0000002307-022
アイタイ	0000003018-003	0000008154-002
アイタウ	0000000915-031
アイダイ	0000003528-001	0000008149-002
アイダク	0000005100-006
アイチャク	0000002307-023
アイチョウ	0000000915-030	0000002307-024
アイヂャク	0000002307-023
アイヂン	0000001231-003
アイテイ	0000008190-001
アイテウ	0000000915-030
アイトウ	0000000915-031
アイトク	0000005100-008	0000005100-009
アイナイ	0000008149-002
アイハオクウニオヨブ	0000002307-032
アイハヲクウニオヨブ	0000002307-032
アイビン	0000000915-032	0000002307-025
アイフン	0000001231-004
アイブ	0000002307-026
アイヘキ	0000007993-006
アイベツ	0000008190-002
アイベツリク	0000002307-027
アイボ	0000000915-033
アイマイ	0000003018-004
アイマイモコ	0000003018-005
アイメイ	0000000915-034
アイメツ	0000001231-005
アイヤウ	0000002307-028
アイヨウ	0000002307-028
アイヨク	0000002307-029
アイラク	0000000915-035
アイレン	0000000915-036	0000002307-031
アイレンノセツ	0000002307-030
アイロ	0000008048-005
アイロウ	0000008048-006
アイヰ	0000006395-002
アイヱン	0000000915-004
アイヲハッス	0000004687-001
アウアウ	0000001126-001	0000002194-001	0000003710-001	0000008182-001
アウイ	0000008794-001
アウイウ	0000008794-013
アウイフ	0000002194-002
アウウ	0000001532-001
アウエン	0000008794-003
アウカ	0000005043-001	0000008794-005
アウキウ	0000003570-002
アウキャウ	0000002571-002
アウギ	0000001424-002
アウク	0000001424-003
アウクヮ	0000003185-001	0000003570-001
アウクヮウ	0000008794-007
アウクヮカイ	0000008794-004
アウケイ	0000005043-002
アウコク	0000008794-008
アウコン	0000002416-001
アウゴ	0000008794-006
アウサ	0000008794-009
アウサウ	0000001424-006
アウシ	0000001424-004
アウシャウ	0000008182-002
アウシン	0000005043-003
アウジャウ	0000001424-005
アウセイ	0000008794-010	0000008829-001
アウセン	0000007858-001	0000008794-011
アウゼン	0000004728-001
アウゾク	0000005651-001
アウタイ	0000002571-003
アウタウ	0000003185-002	0000005043-005
アウダウ	0000001203-001
アウテン	0000008794-012
アウデン	0000005043-004
アウナウ	0000002416-002
アウヒ	0000001424-007
アウフ	0000005651-002
アウムシウ	0000008829-002
アウムセキ	0000008829-003
アウメイ	0000001126-002
アウメウ	0000001424-008
アウヰン	0000008794-002
アウン	0000007994-003
