0	0000034640
F1	0000006028
PM2	0000051744
MP3	0000006053
5	0000051744
O157	0000006717
G8	0000024827
M&A	0000006046
nam plaa	0000046906
GABA	0000014183
amoeba	0000001542	0000001577
samba	0000024582
marimba	0000059609
rumba	0000066490
scuba	0000032347	0000032381
tuba	0000040194	0000042877
CA	0000014198
alpaca	0000001862
saraca	0000024085
Mecca	0000061633
yucca	0000063945
silica	0000030745
majolica	0000059139
replica	0000066861
harmonica	0000048918
Erica	0000006080
YMCA	0000067562
tapioca	0000038580
YWCA	0000067570
Dada	0000038138
Andromeda	0000002129
gamsa hap nida	0000011427
propaganda	0000055827
panda	0000051459
veranda	0000056683
agenda	0000000830
ODA	0000006826
coda	0000020641
pagoda	0000049744
soda	0000036111
PDA	0000051783
IAEA	0000000065
idea	0000000186	0000003571
justidea	0000027326
azalea	0000000817
bougainvillea	0000053921
sweet pea	0000031910
area	0000006075
service area	0000022691
tea	0000041877
herb tea	0000048905
green tea	0000017022
afternoon tea	0000001382
fa	0000053745
FA	0000006017
do re mi fa	0000045659
alfalfa	0000001875
sofa	0000036615
mega	0000061481
giga	0000012958
conga	0000022403
yoga	0000064452	0000064465
fuga	0000053904
mocha	0000062033
DHA	0000041883
panha	0000051647
piranha	0000053443
aloha	0000001920
plusalpha	0000055365
katyusha	0000010701
naphtha	0000046485
Golgotha	0000022270
Gaia	0000008596
Arabia	0000001732
acacia	0000000395
focaccia	0000054097
media	0000061670
owned media	0000006690
multimedia	0000059643
social media	0000036105
mass media	0000059185
new media	0000047519
encyclopedia	0000006239
Chlamydia	0000016966
Mafia	0000059517
nostalgia	0000048535
sangia	0000024316
qualia	0000016249
dahlia	0000038841
pompon dahlia	0000058738
Saintpaulia	0000035215
Kristiania	0000017051
mania	0000059470
monomania	0000062434
zirconia	0000030821
begonia	0000056441
ammonia	0000002176
hernia	0000056712
paranoia	0000050958
sequoia	0000034166
metasequoia	0000061609
sepia	0000034527
utopia	0000063698
aria	0000001777
malaria	0000059599
Ave Maria	0000001433
canaria	0000011066
cineraria	0000023061	0000026594
diphtheria	0000026770
bacteria	0000049625
cafeteria	0000011202	0000014199
doria	0000045440
aporia	0000001448
Asia	0000000827
freesia	0000055466
rickettsia	0000065590
poinsettia	0000057025
Stevia	0000032706
trivia	0000045565
salvia	0000024147
JA	0000024939
vodka	0000004529
pechka	0000056496
tochka	0000044290
rubashka	0000066474
matryoshka	0000059442
balalaika	0000050980
troika	0000045674
paprika	0000050739
polka	0000058458
bazooka	0000049895
parka	0000048836
mazurka	0000059190
la	0000064999
Bengala	0000056772
koala	0000019236
garam masala	0000011637
candela	0000012529
charamela	0000039957
ampela	0000002163
tequila	0000042301
paella	0000049386
a cappella	0000000440
mozzarella	0000062288
Cinderella	0000031582
chlorella	0000017306
tarantella	0000038835
vanilla	0000050643
gorilla	0000022261
guerrilla	0000018457
tortilla	0000045618
villa	0000053413
cola	0000020674
rucola	0000066466
idola	0000003641
gondola	0000022550
viola	0000051858
cupola	0000014581
acerola	0000000982
Gorgonzola	0000022271
Dracula	0000045371
primula	0000055559
copula	0000021981
pyjama	0000052254
blama	0000065319
mama	0000059537
Panama	0000050595
drama	0000045411
homedrama	0000057745
Lesedrama	0000066697
radiodrama	0000065215
melodrama	0000061764
Cinerama	0000026593
diorama	0000025038	0000041927
panorama	0000050675
schema	0000032299
Thema	0000042228
cinema	0000026590
magma	0000059030
stigma	0000032671
Dogma	0000044629
chima	0000039766
mamma	0000059537
dilemma	0000030852	0000042199
comma	0000012697	0000022622
trachoma	0000045375
Roma	0000067453
aroma	0000001922
distoma	0000025779
norma	0000048771
plasma	0000055371
Charisma	0000011692
trauma	0000045367
puma	0000053159
banana	0000050572
iguana	0000002605
marihuana	0000059606
DNA	0000041884
Euglena	0000063537
arena	0000001784
hyena	0000048973
lasagna	0000065205
bone china	0000057782
kina	0000013775
spirulina	0000032874
stamina	0000032605
alumina	0000001889
La Nina	0000065292
ocarina	0000007043
ballerina	0000051135
platina	0000055379
canna	0000012564
bandanna	0000051473
savanna	0000023926
Vienna	0000004455
antenna	0000002120
Madonna	0000059451
prima donna	0000055552
corona	0000022338
persona	0000056708
RNA	0000000036
sauna	0000023178
tuna	0000041495
OA	0000006728
boa	0000056991
zamboa	0000023981
cocoa	0000021092
quinoa	0000013792
papa	0000050684
EPA	0000002339
Europa	0000064460
Sherpa	0000024968
spa	0000032824
mascara	0000059163
tiara	0000041875
para	0000050884
abracadabra	0000001397
zebra	0000034536
cobra	0000021979
tundra	0000041808
gerbera	0000008527
caldera	0000011768
cholera	0000022300
camera	0000011449
digital camera	0000042485
instant camera	0000004246
reflex camera	0000066864
tempera	0000043370
opera	0000007858
grand opera	0000016983
tera	0000042883
et cetera	0000005969
bateira	0000050334
lira	0000066236
JRA	0000024938
ikra	0000002637
okra	0000007150
MRA	0000006045
Angora	0000002031
aurora	0000006988
copra	0000021980
mirra	0000059840
ultra	0000005347
orchestra	0000006765
extra	0000005749
aura	0000006966
BEAURA	0000053165
Monna Lisa	0000062359
NISA	0000046945
visa	0000052177
salsa	0000024138
mimosa	0000060520
missa	0000059964
piccata	0000051907
toccata	0000044912
data	0000042212
big data	0000052469
allarrabbiata	0000001733
fermata	0000054063
sonata	0000036551
cantata	0000012458
Spirochaeta	0000032875
Pieta	0000051842
meta	0000061603
peseta	0000056466
senorita	0000034507
delta	0000042923
Santa	0000024502
placenta	0000055375
magenta	0000059205
PTA	0000051782
carta	0000011761
pasta	0000049912
short pasta	0000030116
festa	0000054048
celesta	0000039390
barista	0000051028
regatta	0000066711
operetta	0000007865
panna cotta	0000051556
terracotta	0000042888
Java	0000027424
lava	0000065295
cassava	0000014156
guava	0000016063
Siva	0000026640
viva	0000052915
bossa nova	0000057962
Minerva	0000060427
raxa	0000065222
jambalaya	0000027531
papaya	0000050687
cattleya	0000011007
molokheiya	0000062580
chalaza	0000011565
plaza	0000055355
stanza	0000032611
cadenza	0000010966
influenza	0000004363
pizza	0000052178	0000052551
B	0000051733
shish kebab	0000025592
prefab	0000055746
jab	0000027439
Arab	0000001738
tab	0000038607
pull-tab	0000055655
BB	0000055785
PCB	0000051767
celeb	0000034637
Web	0000004497
World Wide Web	0000067558
ad lib	0000001264
rib	0000065797
bulb	0000051091
lamb	0000065326
comb	0000020672
coulomb	0000016231
OB	0000006894
lob	0000067442
mob	0000062302	0000062460
flash mob	0000055399
knob	0000048633
snob	0000032821
TOB	0000041888
BtoB	0000051781
PB	0000055334
rhubarb	0000066473
low carb	0000067237
herb	0000048898
USB	0000063474
UB	0000063977
hub	0000050725
club	0000016946
night club	0000045950
Rotary Club	0000067255
pub	0000050727
scrub	0000032405
sub	0000023942
bathtub	0000049915
&c	0000005969
maniac	0000059472
