3D	0000040085
3K	0000029311
4WD	0000079079
8ノ字	0000060595
AA	0000082960
AAA	0000082961
Aaa	0000082961
AAAS	0000082962
AAM	0000082963
AATC	0000082964
ABC	0000006774	0000082965
ABCヘイキ	0000082966
ABC兵器	0000006775	0000082966
Abend	0000000028
ABM	0000082967
abnormal	0000001604
about	0000001546
Abraham Lincoln	0000080717
ABS	0000082968
absinthe	0000001590
abstract	0000001591
ABU	0000082969
ABWR	0000082970
AC	0000082971
acacia	0000000427
academic	0000000453
academism	0000000452
academy	0000000450
a cappella	0000000478
accelerator	0000000653
accent	0000000657
acceptable daily intake	0000082986
access	0000000651
accessibility	0000000650
accessory	0000000649
accident	0000000627
ACCJ	0000082972
accordion	0000000818
accordion door	0000000819
account	0000000401
accountability	0000000400
ACDC	0000082973
ace	0000006762
acerola	0000001122
acetaldehyde	0000001107
acetate	0000001106
acetone	0000001109
acetylene	0000001105
achievement quotient	0000083041
achievement test	0000001240	0000083053
Achilles	0000000587
ACL	0000082974
A class	0000006758
ACM	0000082975
acme	0000000710
acoustic	0000000817
acquired immunodeficiency syndrome	0000006678	0000083009
Acquisition and Cross-Servicing Agreement	0000082976
acre	0000006757
acrobat	0000000734
acrobatic	0000000735
Acryl	0000000724
ACSA	0000082976
ACT	0000082977
action	0000000640
activate	0000000673
active	0000000671
active learning	0000000672
activities of daily living	0000082988
actual	0000000670
acute respiratory distress syndrome	0000083043
AD	0000006763	0000006764	0000082978	0000082979
ad	0000001412
adagio	0000001140
Adam	0000001209
adapter	0000001177
adaptive control	0000082971
ADB	0000082981
additional time	0000001359
addon	0000001419
address	0000001475
ade	0000006771
adenoide Vegetation	0000001379
Adenovirus	0000001380
ADEOS	0000082982
ADESS	0000082983
ADF	0000082984
ADHD	0000082985
ad hoc	0000001457
ADI	0000082986
adieu	0000001387
adj	0000082987
adjective	0000082987
ADL	0000082988
ad lib	0000001473
admiral	0000001461
admissions office	0000083032
adolescent and young adult	0000083067
Adolf Hitler	0000063884
Adorm	0000001474
ADR	0000082989
Adrenalin	0000001476
ADSL	0000006766	0000082990
adult	0000001237
adult children	0000001238
adult-oriented rock	0000083034
adult T-cell leukemia	0000083056
adult video	0000083065
adv	0000082991
advance	0000001451
advanced boiling water reactor	0000082970
advanced cruise missile	0000082975
Advanced Earth Observing Satellite	0000082982
Advanced Mobile Traffic Information and Communication System	0000083024
Advanced Photo System	0000083040
advanced thermal reactor	0000083060
advance purchase excursion	0000083037
advantage	0000001452
adventure	0000001455
adverb	0000082991
Advertising Council Japan	0000082971
advice	0000001446
adviser	0000001445
ADヘンカン	0000082980
AD変換	0000082980
AED	0000006753	0000082993
Aegis	0000002646
aerobics	0000006584
aerogram	0000006582
aerosol	0000006572	0000006583
AET	0000082994
AEカメラ	0000082992
AF	0000082995
AFC	0000082997
AFC Champions League	0000082974
affiliate	0000001584
affirmative action	0000082960
Afghanistan	0000001586
AFL-CIO	0000082998
AFN	0000082999
AFP	0000083000
Africa	0000001636
African Development Fund	0000082984
African National Congress	0000083028
African Union	0000083062
Africa-South America Summit	0000083045
Afro hair	0000001652
AFTA	0000083001
aftercare	0000001592
after five	0000001594
afternoon	0000001595
afternoon dress	0000001596
afterrecording	0000001645
AFカメラ	0000082996
Ag	0000083002
against	0000000807
agape	0000000477
age	0000006659	0000006759
Agence France-Presse	0000083000
agency	0000006760
Agency for International Development	0000083008
agenda	0000000952
agent	0000006761
aggressive	0000000731
agitating point	0000000999
agitation	0000000996
agitator	0000000997
AGM	0000083003
agrement	0000000732
AGT	0000083004
AGV	0000083005
ahead	0000001656
AI	0000006752	0000083006
AICO	0000083007
AID	0000083008
AIDS	0000006678	0000083009
AIH	0000083010
AIM	0000083011
air	0000006562
air bag	0000006576
airborne warning and control system	0000083066
air brake	0000006577
airbus	0000006575
air cleaner	0000006566
air compressor	0000006570
air conditioner	0000006568
air conditioning	0000006569
aircraft	0000006565
air curtain	0000006563
air dome	0000006574
air gun	0000006564
air-launched guided missile	0000083003
air-launched intercept missile	0000083011
airline	0000006581
airmail	0000006580
air pocket	0000006579
airport	0000006578
air station	0000006571
air terminal	0000006573
air-to-air missile	0000082963
air-to-surface missile	0000083051
air traffic control	0000083054
AJJF	0000083012
AJS	0000083013
AL	0000083014
a la carte	0000001964
a la mode	0000002045
alarm	0000001927
Alaska	0000001990
Albania	0000002171
albatross	0000002170
Albert Einstein	0000000268
album	0000002172
albumin	0000002181
alcohol	0000002151
al dente	0000002163
ale	0000006779
Aleksandr Sergeevich Pushkin	0000065294
alert	0000001926
Alexandros	0000002200
alfalfa	0000002179
Algeria	0000002158
algorithm	0000002155
alibi	0000002121
alien	0000006744
alkali	0000002142
alkaloid	0000002147
all	0000008253
Allah	0000001346	0000001925
allegory	0000002204
allegretto	0000002202
allegro	0000002203
Allergen	0000002218
Allergie	0000002217
alliance	0000001944
allinone	0000008254
All Japan Judo Federation	0000083012
