5W1H	0000012222
CO2	0000014028
3R	0000013740	0000018109
4R	0000029820
5R	0000029649
beach sandals	0000028522
cabin attendant	0000008336
American football	0000000925
capybara	0000006606
data base	0000022953
ambassador	0000001222
bandanna	0000028360
bargain sale	0000026915
banana	0000027845
bazaar	0000027382
acacia	0000000194
digital camera	0000023099
Native American	0000026285
cameraman	0000006755
tartar sauce	0000021119
Santa Claus	0000013860
mascara	0000032597
caravan	0000008343
salaried man	0000013679
marmalade	0000032350
hazard map	0000027384
Vienna sausage	0000002590
sexual harassment	0000018661
safari park	0000013582
anagram	0000000749
asparagus	0000000519
pajamas	0000027439
panorama	0000027919
savanna	0000013569
papaya	0000027924
rolled cabbage	0000037335
cabbage	0000008339
black bass	0000030572
brass band	0000030561
ball bearing	0000031782
basketball	0000027481
baseball	0000031092
case by case	0000010300
cable car	0000010308
backpack	0000027641
radio beacon	0000036378
barricade	0000028133
backhand	0000027642
backyard	0000027645
work life balance	0000037462
traceability	0000024904
bacteria	0000027315
balance	0000028116
unbalance	0000001223
base camp	0000031091
collaboration	0000012607
barrack	0000028076
vocabulary	0000031803
acrobat	0000000344
dashboard	0000020814
skateboard	0000017713
handbag	0000028394
big data	0000028906
sandbag	0000013877
handball	0000028396
table manners	0000022958
reasonable	0000036503
tea bag	0000022818
rehabilitation	0000036661
alphabet	0000001070
sustainable	0000013411
meatball	0000033019
amoeba	0000000889	0000000911
air bag	0000003267
marimba	0000032885
play ball	0000030748
wallaby	0000037708
abnormal	0000000792
cash card	0000008322
catch phrase	0000008325
coelacanth	0000014062
hectopascal	0000031112
character	0000008342
racing car	0000037066
curtain call	0000005034
capacity	0000008332
cacao	0000005531
dead space	0000023184
prepaid card	0000030655
trading card	0000024906
called game	0000011715
media literacy	0000034220
social media	0000019594
calendar	0000006971
academy	0000000204
copy and paste	0000012450
cut and paste	0000006446
road race	0000037322
arcade	0000000004
day-care	0000022854	0000022948
cardigan	0000005030
Grand Canyon	0000009846
handicap	0000028376
dramatic	0000024755
scandal	0000017658
placard	0000030543
avocado	0000000829
service area	0000012873
cafeteria	0000006621
after care	0000000784
live camera	0000036317
maintenance	0000034363
pacemaker	0000031093
escalate	0000003442
pennant race	0000031217
papercraft	0000031097
tracing paper	0000024905
package	0000027647
catalogue	0000006299
parachute	0000028066
caterpillar	0000008309
linear motor car	0000036645
pancake	0000028276
caramel	0000008344
classmate	0000009820
escalator	0000003441
camera	0000006754
rent-a-car	0000037213
castanet	0000006108
campaign	0000008357
catalog	0000006299
harmonica	0000026956
chain saw	0000021399
trachoma	0000024737
approach	0000000821
application	0000000816
Paralympics	0000028102
carnival	0000005044
macaroni	0000032445
automatic	0000004025
carnation	0000005045
raincoat	0000037062	0000037075
attraction	0000000733
vacation	0000027350
captain	0000008338
caviar	0000008334
knapsack	0000025374
attack	0000000565
patrol car	0000027776
solar car	0000019601
coal tar	0000011711
casual	0000006059
canna	0000007371
canvas	0000007399	0000008352
carat	0000006853
drag and drop	0000024743
dead heat	0000023185
ready-made	0000037147
handmade	0000028398
additional time	0000000676
mail address	0000034093
standard	0000017833
give-and-take	0000008168
adrenaline	0000000738
Valentine Day	0000028207
lesser panda	0000037130
fair trade	0000029801
stained glass	0000017894
paraglider	0000028062
damage	0000021061
drawn game	0000024957
day game	0000022949
heat island	0000028533
apartheid	0000000773
hardware	0000026936
mass media	0000032608
paradise	0000028071
trademark	0000024908
on parade	0000004974
veranda	0000031248
parade	0000028183
adapter	0000000569
standing ovation	0000017834
guardrail	0000005041
gradation	0000009825
dahlia	0000021108
hazard	0000027383
radiator	0000036376
landmark	0000036467
sandal	0000013861
salad	0000013668
Adam	0000000598
at random	0000000734
road map	0000037321
drama	0000024754
May Day	0000034087
panda	0000028349
radar	0000037070
data	0000022951
seesaw game	0000014043
native speaker	0000026286
flea market	0000030621
vegetarian	0000031123
rehearsal	0000036654
mineral water	0000033421
rare metal	0000036996
aye-aye	0000000017
family name	0000029664
gas range	0000006127
garage	0000006952
margarine	0000032341
magazine	0000032426
analogue	0000000755
mass game	0000032599
manager	0000032804
massage	0000032691
propane gas	0000030804
arrange	0000001095
sausage	0000019597
