10000	0000006893-012
1000	0000000704-001
10100	0000006956-001
11000	0000007601-011
10010	0000006899-011
10001	0000006894-001
10200	0000007037-001
12000	0000008328-002
10002	0000006894-011
10020	0000006906-011
10030	0000006911-001
10300	0000007114-011
13000	0000009057-001
10003	0000006894-012
10040	0000006917-001
10400	0000007182-001
10004	0000006894-013
10050	0000006923-011
10005	0000006895-001
10500	0000007260-002
10600	0000007327-001
10006	0000006896-001
10060	0000006931-001
10070	0000006937-001
10007	0000006897-001
10700	0000007392-001	0000007392-002
10800	0000007456-001
10080	0000006942-001
10008	0000006898-001
10009	0000006899-001
10090	0000006949-001
10900	0000007522-001
2000	0000001429-001
2000B	0000000009-011
3000	0000002131-001
4000	0000002832-001
5000	0000000283-001	0000003551-001
6000	0000004274-001
7000	0000004172-001	0000005009-001
8000	0000005710-012	0000005961-011
9000	0000006378-011	0000007782-001
100	0000000072-013	0000004684
1010	0000000708-001
1100	0000000768-001
1001	0000000704-011
10101	0000006957-001
11100	0000007670-001
10110	0000006964-001
11001	0000007602-001
11010	0000007609-001
10011	0000006900-001
1-20-10	0000000630-001
12001	0000008329-001
1-20-01	0000005578-001
10210	0000007046-001
10021	0000006907-001
10012	0000006900-011
11002	0000007603-001
10201	0000007038-001
11020	0000007614-001
10102	0000006958-001
10120	0000006972-001
12100	0000008411-001
2-01-10	0000001983-011
11200	0000007748-002
12010	0000008337-001
13100	0000009138-001
11300	0000007804-001
10013	0000006901-001
10031	0000006912-001
1-30-01	0000000636-001
10310	0000007120-011
10301	0000007114-012
1-30-10	0000001467-001
11030	0000007621-011
11003	0000007603-011
13001	0000009058-001
13010	0000009066-001
10103	0000006958-011
10130	0000006980-001
10014	0000006902-001
1-40-01	0000000522-001
1-40-10	0000004713-001
10401	0000007183-001
11400	0000007861-002
11004	0000007604-001
10041	0000006918-001
11040	0000007626-011
10140	0000006988-001
10104	0000006959-001
10410	0000007190-001
1-50-01	0000002051-011
10015	0000006903-001
11500	0000007934-001
10501	0000007261-001
10150	0000006996-001
11005	0000007605-001
1-50-10	0000000640-001
10051	0000006924-001
11050	0000007632-011
10105	0000006959-002
10510	0000007267-011
1-60-10	0000003321-001
10106	0000006960-001
10601	0000007328-001
1-60-01	0000003300-001
10160	0000007004-001
11600	0000008013-001
10016	0000006904-001
10610	0000007334-001
10061	0000006931-011
11006	0000007605-011
11060	0000007639-012
10071	0000006937-011
1-70-10	0000005876-001
10107	0000006961-001
1-70-01	0000005866-001
11070	0000007648-001
10701	0000007392-003
10710	0000007399-011
10170	0000007013-001
10017	0000006904-011
11700	0000008095-001
11007	0000007606-001
10081	0000006942-011
11008	0000007607-001
1-80-10	0000008416-002
10801	0000007457-001
10018	0000006905-001
11080	0000007657-011
10810	0000007464-001
10108	0000006962-001
11800	0000008174-001
10180	0000007022-001
1-80-01	0000008411-001
11900	0000008254-001
10901	0000007523-001
10910	0000007532-001
1-90-10	0000005740-001
11090	0000007663-002
1-90-01	0000005663-001
11009	0000007608-001
10190	0000007029-001
10091	0000006950-001
10109	0000006963-001
10019	0000006906-001
2100	0000001503-001
2010	0000001436-011
1020	0000000714-001
1200	0000000839-001
1002	0000000704-012
2001	0000001430-001
2-01-20	0000000101-001
12002	0000008330-001
2-01-02	0000000003-001
12020	0000008346-001
12200	0000008478-001
1-20-20	0000001981-001
10022	0000006907-011
10220	0000007053-001
1-20-02	0000000527-001
10202	0000007038-002
12030	0000008354-001
1-20-03	0000000527-013
1-30-20	0000002116-001
2-03-01	0000000382-001
10032	0000006913-001
13020	0000009072-001
1-20-30	0000003597-001
13200	0000009210-001
12300	0000008549-001
2-01-30	0000000143-001
10230	0000007059-011
13002	0000009058-011
10023	0000006908-001
1-30-02	0000000674-001
12003	0000008331-001
10203	0000007039-001
10320	0000007124-001
10302	0000007115-001
2-03-10	0000000460-011
2-01-03	0000000014-001
10024	0000006909-001
2-01-40	0000000195-001
10240	0000007066-001
12400	0000008618-011
1-20-04	0000004656-001
2-04-01	0000000961-001
1-20-40	0000005387-001
2-01-04	0000000012-011
10204	0000007040-001
2-04-10	0000000025-001
10042	0000006919-001
1-40-20	0000002526-001
10420	0000007197-001
1-40-02	0000005483-001
10402	0000007183-011
12004	0000008332-001
12040	0000008360-011
12050	0000008370-001
10052	0000006925-001
10250	0000007076-001
10025	0000006910-001
12500	0000008683-001
10502	0000007261-002
1-50-20	0000004703-001
1-20-05	0000000067-001
2-01-50	0000000226-001
10520	0000007274-001
1-50-02	0000000608-001
10205	0000007041-001
2-05-01	0000001279-001
1-20-50	0000007284-001
2-05-10	0000001319-001
2-01-05	0000000028-001
12005	0000008332-011
10026	0000006910-011
1-20-06	0000000196-001
2-01-60	0000000297-001
1-60-20	0000003351-001
10620	0000007338-013
12006	0000008333-001
12060	0000008381-001
10206	0000007042-001
10602	0000007329-001
1-60-02	0000003218-002
2-01-06	0000000029-001
12600	0000008745-001
10062	0000006932-001
1-20-60	0000008753-011
10260	0000007085-001
10207	0000007043-001
12700	0000008823-001
1-20-07	0000000474-001
1-70-20	0000005902-001
10072	0000006937-012
10027	0000006910-012
12007	0000008334-001
2-01-70	0000000323-001
10720	0000007404-011
1-70-02	0000005868-001
2-01-07	0000000033-001
1-20-70	0000007492-001
10270	0000007091-011
12070	0000008389-001
10702	0000007393-001
1-80-20	0000008472-001
12080	0000008398-001
12800	0000008898-011
2-01-08	0000000046-001
10028	0000006910-013
1-80-02	0000008412-001
2-01-80	0000007609-011
10208	0000007044-001
10802	0000007457-011
1-20-08	0000001669-001
10280	0000007100-011
1-20-80	0000001250-001
2-80-01	0000004305-001
10082	0000006942-012
10820	0000007471-001
12008	0000008335-001
2-08-10	0000001689-001
2-08-01	0000001641-001
2-90-01	0000005356-012
12900	0000008975-001
12090	0000008405-011
10209	0000007045-001
2-90-10	0000007906-001
10290	0000007106-001
10902	0000007524-001
2-01-09	0000000051-001
1-90-02	0000001932-011
1-90-20	0000005817-001
10092	0000006951-001
1-20-90	0000002893-001
12009	0000008336-001
10029	0000006910-014
2-01-90	0000000376-001
1-20-09	0000000530-001
10920	0000007540-001
3010	0000002137-001
1300	0000000922-001
1030	0000000723-001
1003	0000000704-013
3100	0000002198-011
3001	0000002132-001
1-30-30	0000003115-001
13030	0000009081-001
1-30-03	0000000697-001
13003	0000009059-001
10330	0000007133-011
10303	0000007115-002
13300	0000009283-001
10033	0000006913-011
1-30-40	0000004279-001
10340	0000007137-013
1-30-04	0000000795-001
13004	0000009060-001
10304	0000007116-001
1-40-30	0000000701-001
10403	0000007183-012
10034	0000006914-001
13400	0000009347-001
13040	0000009090-001
10430	0000007204-011
1-40-03	0000005098-001
10043	0000006920-001
10053	0000006926-001
13050	0000009099-001
13005	0000009061-001
1-50-03	0000000612-001
1-50-30	0000000684-001
10503	0000007262-001
13500	0000009417-001
1-30-50	0000005665-001
10305	0000007117-001
1-30-05	0000000930-001
10350	0000007146-001
10035	0000006915-001
10530	0000007281-001
10360	0000007151-012
10036	0000006915-011
10630	0000007346-001
13060	0000009107-001
1-30-06	0000000958-001
10306	0000007117-002
13006	0000009062-001
1-60-30	0000003380-001
1-30-60	0000007234-001
10603	0000007329-011
10063	0000006933-001
1-60-03	0000003303-001
1-30-07	0000000959-001
10307	0000007117-011
13070	0000009115-001
10730	0000007411-011
10370	0000007158-012
1-70-30	0000005923-012
1-70-03	0000005869-001
10037	0000006916-001
13007	0000009063-001
10073	0000006937-013
10703	0000007393-011
1-30-70	0000000009-001
13008	0000009064-001
13080	0000009122-001
10083	0000006943-001
10830	0000007477-001
10380	0000007167-001
1-80-03	0000001815-017
1-80-30	0000008507-001
10308	0000007119-001
10803	0000007458-001
10038	0000006916-011
1-30-80	0000002289-001
1-30-08	0000001052-001
1-90-30	0000005937-001
1-30-09	0000001430-001
10309	0000007120-001
13009	0000009065-001
10093	0000006951-011
10039	0000006916-012
1-90-03	0000005683-001
13090	0000009131-001
10390	0000007175-001
1-30-90	0000008017-001
10903	0000007525-001
10930	0000007548-001
1400	0000000993-001
4010	0000002837-012
4100	0000002902-001
1004	0000000705-001
1040	0000000728-011
4001	0000002833-001
10044	0000006920-011
1-40-04	0000005484-001
1-40-40	0000004409-001
10440	0000007212-001
10404	0000007184-001
10405	0000007185-001
10504	0000007263-001
1-40-50	0000008652-001
10540	0000007289-001
1-50-40	0000000724-001
1-50-04	0000000617-001
1-40-05	0000006027-011
10450	0000007219-001
10045	0000006920-012
10054	0000006927-001
1-60-40	0000003402-001
10460	0000007228-011
1-40-06	0000005418-001
10064	0000006934-001
1-60-04	0000003303-011
10604	0000007330-001
10046	0000006921-001
10640	0000007354-001
10406	0000007186-001
1-40-60	0000000708-001
10047	0000006922-001
1-40-07	0000003565-001
1-70-04	0000001356-011
10074	0000006938-001
1-40-70	0000003678-001
1-70-40	0000005948-001
10470	0000007236-002
10704	0000007394-001
10407	0000007187-001
10740	0000007416-011
10048	0000006922-011
1-40-08	0000001964-001
10840	0000007483-001
10480	0000007244-001
1-40-80	0000007285-001
1-80-40	0000008526-001
10408	0000007188-001
10084	0000006945-001
10804	0000007459-001
1-80-04	0000008418-001
10490	0000007253-002
10904	0000007525-011
10049	0000006923-001
1-90-04	0000005687-001
10940	0000007555-001
1-90-40	0000005993-001
1-40-90	0000003132-001
1-40-09	0000006030-001
10409	0000007189-001
10094	0000006951-012
5010	0000003558-001	0000004436-013
1050	0000000733-002
1500	0000001071-001
5100	0000000383-001	0000003614-001
1005	0000000705-011
5001	0000000282-001	0000003551-011
10505	0000007264-001
1-50-50	0000002031-012
1-50-05	0000000619-001
10055	0000006927-011
10550	0000007296-001
10560	0000007304-001
1-50-06	0000000622-001
1-60-50	0000003426-001
10650	0000007361-001
10056	0000006928-001
10506	0000007265-001
1-60-05	0000003304-001
10605	0000007331-001
10065	0000006935-001
1-50-60	0000000800-001
10075	0000006939-001
1-70-05	0000005860-012
10057	0000006929-001
10750	0000007421-001
1-70-50	0000005980-001
1-50-70	0000000847-001
10507	0000007265-002
1-50-07	0000000626-001
10705	0000007394-011
10570	0000007310-011
1-50-08	0000000631-011
10805	0000007460-001
10058	0000006930-001
10085	0000006946-001
10850	0000007490-002
1-50-80	0000000866-011
10508	0000007266-001
10580	0000007315-002
1-80-50	0000004905-011
1-80-05	0000008419-001
10590	0000007320-012
10059	0000006930-011
1-90-05	0000005714-001
1-50-09	0000000615-002
1-50-90	0000000891-001
10509	0000007267-001
10950	0000007561-011
1-90-50	0000006125-001
10095	0000006951-013
10905	0000007526-001
1600	0000001147-011
6001	0000004274-011
1006	0000000705-012
1060	0000000740-001
6100	0000002327-001	0000004341-001
6010	0000002201-001	0000004277-001
10660	0000007368-001
10066	0000006935-011
1-60-06	0000003305-001
10606	0000007331-011
1-60-60	0000003445-001
10670	0000007373-011
1-70-06	0000005872-001
1-60-07	0000003312-001
10607	0000007332-001
10067	0000006935-012
10760	0000007425-011
1-60-70	0000003461-001
1-70-60	0000006005-001
10706	0000007395-001
10076	0000006940-001
1-60-80	0000003489-001
10806	0000007461-001
10608	0000007333-001
1-60-08	0000003318-001
10086	0000006947-001
1-80-60	0000008570-001
10680	0000007380-011
10068	0000006935-013
10860	0000007496-001
1-80-06	0000008430-001
1-90-60	0000006275-001
10906	0000007527-001
10096	0000006952-001
1-60-09	0000003316-001
1-60-90	0000003534-001
10609	0000007333-011
10069	0000006936-001
10690	0000007384-012
10960	0000007570-001
1-90-06	0000005709-001
7001	0000004080-011	0000005010-001
7100	0000005081-011
7010	0000005015-001
1070	0000000747-001
1700	0000001219-001
1007	0000000706-001
1-70-70	0000006023-001
10770	0000007431-011
1-70-07	0000005873-001
10077	0000006941-001
10707	0000007397-001
1-80-70	0000008597-001
10078	0000006941-011
1-70-08	0000005874-001
1-70-80	0000006057-001
10807	0000007461-011
10087	0000006947-011
10708	0000007398-001
10870	0000007502-011
10780	0000007440-001
1-80-07	0000008437-001
1-90-70	0000006307-011
1-90-07	0000005639-011
1-70-09	0000005875-001
10079	0000006941-012
10970	0000007578-001
10790	0000007448-002
10709	0000007399-001
10907	0000007529-001
1-70-90	0000006092-001
10097	0000006952-011
8100	0000005783-002
8001	0000005711-001	0000005963-001
1080	0000000754-001
1800	0000001288-013
8010	0000001698-001	0000005718-001
1008	0000000706-011
10880	0000007509-011
1-80-08	0000008438-001
10088	0000006947-012
1-80-80	0000008633-001
10808	0000007462-001
