12表法	0000006472
1970年6月19日ニワシントンデ作成サレタ特許協力条約	0000008153
1人1票制	0000000316
1人会社	0000000317
1人制	0000000318
1件記録	0000000344
1個ノ行為	0000000345
1商標1出願ノ原則	0000000314
1夫1婦婚	0000000394
1夫多妻婚	0000000395
1妻多夫婚	0000000346
1子相続	0000000347
1意匠1出願ノ原則	0000000299
1物1権主義	0000000327
1発明1出願ノ原則	0000000319
1筆	0000000393
1級河川	0000000343
1親等	0000000352
2006年ノ海上ノ労働ニ関スル条約	0000010682
200海里経済水域	0000010715
20歳未満ノ者ノ喫煙ノ禁止ニ関スル法律	0000010681
20歳未満ノ者ノ飲酒ノ禁止ニ関スル法律	0000010680
2国間条約	0000010666
2次的著作物	0000010667
2級河川	0000010664
2院制	0000010657
36協定	0000005374	0000005447
3公社5現業	0000005412
3制	0000014065
3国同盟	0000005415
3審制	0000005421
3条委員会	0000005420
3権分立	0000005411
3者執行	0000005419
3親等内ノ血族	0000005423
3部会	0000005432
3面契約	0000005438
3面訴訟	0000005439
40時間労働制	0000013619
4半期報告書	0000006075
5箇条ノ御誓文	0000004408
6	0000014065
8時間労働	0000011157
8条委員会	0000011158
accountability	0000000037
ACSA	0000000045
ACTA	0000000049
actio	0000000050
ADB	0000000739
add-on system	0000000085
Administrative Procedure Act	0000000095
ADR	0000000737
AEO制度	0000000735
AfDB	0000000736
affidavit	0000008231
agent provocateur	0000000062
agrment	0000000052
AID	0000000734
AIH	0000000733
alibi	0000000107
American Depositary Receipt	0000000099
anarchism	0000000089	0000013092
apartheid	0000000090
arms length rule	0000000001
arraignment	0000000111
ASEAN	0000000069
ATT	0000000738
back pay	0000011165
bar association	0000010982
barrister	0000011207
BEPS	0000012154
billbroker	0000011555
bill of rights	0000003700
BIS	0000011417
BL	0000011309
blacklist	0000011976
bond surety bond	0000012826
bonus	0000012549
boycott	0000012232
Bretton Woods Agreements	0000012011
broker	0000012014
BSE	0000011307
capital gain	0000002285
cartel ship	0000000906
case method	0000003383
caseworker	0000003384
CD	0000005462
center	0000008253
charter	0000009321
check off	0000009190
CIF約款	0000005459
CIS	0000005457
CISG	0000005458
civilian control	0000006078
Civil Rights Acts	0000004331
claim	0000003092
class action	0000003061
clean hands	0000003077
clean slate principle	0000003076
clear and present danger	0000013133
closed-end mortgage	0000003094
closed shop	0000003095
cocaine	0000004407
COCOM	0000004707
COMECON	0000004881
commentatores	0000009350
commercial paper	0000004878
common law	0000004883
communiqu	0000004880
condominium	0000004939
conscientious objection	0000013802
consideration	0000013255
consolidated annuities	0000004933
consols	0000004933
conspiracy	0000004931
controlled delivery	0000004940
conventions of the constitution	0000003666
cooling-off	0000002998
corporate governance	0000004405
coup dEtat	0000002996
courier	0000002997
craft union	0000003066
credit card	0000003093
cross examination	0000003097
crowdfunding	0000003059
CSR	0000005461
CTBT	0000005463
cybersecurity	0000005174
D&O保険	0000009675
DA手形	0000009676
democracy	0000009880	0000013003	0000013004
denomination	0000009878
design	0000009850
diversion	0000008924
domestic violence	0000010490
DP手形	0000009680
due process of law	0000009881
dumping	0000009144
DV	0000009682
EAEC	0000000134
EBRD	0000000139
EC	0000000135
ECAFE	0000000740
ECOSOC	0000000747
ECSC	0000000136
ED	0000000137
EEC	0000000133
EFTA	0000000768
EPA	0000000140
equity	0000000746
ESCAP	0000000749
estoppel	0000000751
Estrada Doctrine	0000000752
EU	0000000142
EURATOM	0000013411
e-文書法	0000000141
factoring	0000011567
FAO	0000000766
fascism	0000011568
FAS約款	0000000765
FEC	0000000764
flextime	0000012010
FOB約款	0000000767
FTA	0000000769
FTC	0000000770
fund trust	0000011569
GATT	0000001508
general mortgage	0000008124
gerrymandering	0000003442
Gewere	0000003441
GHQ	0000005460
GI	0000005456
