6	0000014065
IDA	0000000020
ODA	0000000842
IAEA	0000000002
MIGA	0000012897
EPA	0000000140
ACSA	0000000045
visa	0000005359	0000011392
persona non grata	0000012156
ACTA	0000000049
FTA	0000000769
NAFTA	0000010642
EFTA	0000000768
Magna Carta	0000012857
scab	0000007769
ADB	0000000739
AfDB	0000000736
IDB	0000000023
ICC	0000000014
EC	0000000135
EAEC	0000000134
EEC	0000000133
FEC	0000000764
OPEC	0000000880
SEC	0000000748
IFC	0000000003
LC	0000000773
ILC	0000000012
ECOSOC	0000000747
ECSC	0000000136
TC	0000009679
FTC	0000000770
IWC	0000000018
UNCTAD	0000000114
CD	0000005462
OECD	0000000837
NCD	0000000756
ED	0000000137
ID	0000000019
AID	0000000734
apartheid	0000000090
ICSID	0000000013
guild	0000002855
Grundschuld	0000010414
Rentenschuld	0000009712
Grundgesetz fur die Bundesrepublik Deutschland	0000009993
bond surety bond	0000012826
case method	0000003383
imputation method	0000000533
prepaid card	0000011995
credit card	0000003093
EBRD	0000000139
IBRD	0000000028
record	0000013902
parens patriae	0000003029
invoice	0000000536
post notice	0000012715
corporate governance	0000004405
title insurance	0000003509
nuisance	0000010788
usance	0000013356
 rsistance	0000013903
pragmatic jurisprudence	0000011975
domestic violence	0000010490
Verfassungsbeschwerde	0000003671
ECAFE	0000000740
mortgage	0000013191
closed-end mortgage	0000003094
open-end mortgage	0000000844
general mortgage	0000008124
sabotage	0000005379
red-purge	0000013910
strike	0000007779
volont gn-rale	0000000359
recycle	0000013686
parole	0000011210
clean slate principle	0000003076
source rule	0000008544
arms length rule	0000000001
flextime	0000012010
group home	0000003091
cocaine	0000004407
Estrada Doctrine	0000000752
Monroe Doctrine	0000013250
Tobar Doctrine	0000010483
software	0000008702
Gewere	0000003441
nemo iudex sine actore	0000008639
joint venture	0000006771
lease	0000013631
BSE	0000011307
optional clause	0000000878
syndicate	0000007529
plbiscite	0000012012
initiative	0000000409
Programmstze	0000012016
UNICEF	0000013442
cooling-off	0000002998
check off	0000009190
layoff	0000013887
IMF	0000000004
mandamus proceeding	0000012894
crowdfunding	0000003059
hijacking	0000011023
zoning	0000008545
dumping	0000009144
gerrymandering	0000003442
money laundering	0000012872
factoring	0000011567
picketing	0000011374
CISG	0000005458
hate speech	0000012128
lynch	0000013865
AIH	0000000733
polygraph	0000012790
alibi	0000000107
 ratio decidendi	0000013890
ratio decidendi	0000011233
GI	0000005456
ICJ	0000000015
travelers check	0000010492
treasury stock	0000002902
service mark	0000004947
UNCITRAL	0000000118
rental	0000013945
BL	0000011309
estoppel	0000000751
recall	0000013680
Kartell	0000001687
goodwill	0000003023
law school	0000014057
civilian control	0000006078
add-on system	0000000085
claim	0000003092
COCOM	0000004707
EURATOM	0000013411
fascism	0000011568
anarchism	0000000089	0000013092
trade unionism	0000010559
terrorism	0000009891
referendum	0000013911
premium	0000012013
condominium	0000004939
moratorium	0000013242
 jus gentium	0000011299
national minimum	0000010638
obiter dictum	0000012548
ASEAN	0000000069
 ombudsman	0000000904
impact loan	0000000531
Sollen	0000009998
design	0000009850
capital gain	0000002285
heroin	0000012158
COMECON	0000004881
craft union	0000003066
television	0000009883
mansion	0000012889
diversion	0000008924
Immission	0000000538
probation	0000012020
bar association	0000010982
cross examination	0000003097
denomination	0000009878
consideration	0000013255
swap transaction	0000007786
outright transaction	0000000031
class action	0000003061
conscientious objection	0000013802
injunction	0000000514
stock option	0000007776
conventions of the constitution	0000003666
Konzern	0000004935
UN	0000013309
ICAO	0000000150
FAO	0000000766
UNESCO	0000013459
KEDO	0000003440
NIEO	0000010659
NGO	0000000755
WHO	0000009051
actio	0000000050
PKO	0000011311
ILO	0000000006
TLO	0000009677
IMO	0000000005
WMO	0000009052
ICPO	0000000016
WIPO	0000009050	0000014079
NPO	0000000757
ITSO	0000000021
SEATO	0000005454
NATO	0000010641
ITO	0000000022
WTO	0000009053
ESCAP	0000000749
HACCP	0000011124
cartel ship	0000000906
closed shop	0000003095
open shop	0000000845
union shop	0000013441
GHQ	0000005460
UNHCR	0000013310
ADR	0000000737
SDR	0000000750
outsider	0000000029
clear and present danger	0000013133
courier	0000002997
broker	0000012014
billbroker	0000011555
caseworker	0000003384
social caseworker	0000008543
part-timer	0000010991
commercial paper	0000004878
center	0000008253
charter	0000009321
time-charter	0000008947	0000009718
barrister	0000011207
solicitor	0000008704
CSR	0000005461
agent provocateur	0000000062
JAS	0000006297
OAS	0000000838
legal ethics	0000013630
clean hands	0000003077
theory of double standards	0000010676
consolidated annuities	0000004933
ultra vires	0000000630
glossatores	0000009389
commentatores	0000009350
BIS	0000011417
CIS	0000005457
JIS	0000005722
consols	0000004933
Incoterms	0000000507
ius cogens	0000013437
Uniform Rules for Collections	0000010526
nomos	0000010979
BEPS	0000012154
right of access	0000000048
judicial process	0000006096
homeless	0000012551
Civil Rights Acts	0000004331
bill of rights	0000003700
Bretton Woods Agreements	0000012011
bonus	0000012549
habeas corpus	0000012130
coup dEtat	0000002996
CTBT	0000005463
PTBT	0000011314
Administrative Procedure Act	0000000095
