21 2次元スケッチ	0000003515
16PF	0000002131
2-dimensional sketch	0000003515
ADOS-2	0000000349
ADOS 2	0000000349
2E児	0000003183
カイ2乗分布	0000000566
カイ2乗検定	0000000565
2次元スケッチ	0000003515
知能ノ2因子説	0000003062
最小2乗法	0000001602
第2信号系	0000002921
2点弁別閾	0000003513
2因子説	0000003483
触2点閾	0000002292
3-D model representation	0000001679
セラピストノ3条件	0000002696
3ツノ山問題	0000004339
4枚カード問題	0000004580
5因子理論	0000001333
バイステックノ7原則	0000003611
9カ月革命	0000000982
9歳ノ壁	0000000986
AA	0000000101	0000000324
International Statistical Classification of Diseases and Related Health Problems	0000000015
Treatment and Education of Autistic and related Communication-handicapped CHildren	0000003228
International Classification of Functioning Disability and Health	0000000014
Diagnostic and Statistical Manual of Mental Disorders	0000003208
standards for reporting of diagnostic accuracy studies statement	0000002520
sanatorium type medical care facilities for the elderly requiring care	0000004792
Alzheimers Disease Assessment Scale-Cognitive Component-Japanese version	0000000337
augmentative and alternative communication	0000000325
Ramachandrans laws of aesthetics	0000004597
preferred reporting items for systematic reviews and meta-analyses statement	0000004046
multivariate analysis of variance	0000002985
Vineland Adaptive Behavior Scales second edition	0000000275
Neurobehavioral Cognitive Status Examination	0000001472
behavioral activation therapy	0000001411
Maslow Abraham Harold	0000005157
behavioral marital therapy	0000003953
canonical correlation analysis	0000002595
transcranial magnetic stimulation	0000003212
consolidated standards of reporting trials statement	0000001567
Hasegawa Dementia Scale-Revised	0000003647
health examination for the infants and the young children	0000003519
industrial and organizational psychology	0000001674
Multiphasic Early Dementia Examination	0000002988
pragmatic language impairment	0000001545
transactional analysis	0000001456
ideational apraxia	0000000847
alpha wave attenuation	0000000111
visual spatial agnosia	0000001779
parvo pathwaykonio pathway	0000002884
habituation-dishabituation method	0000002176
limbic system-ascending reticular activating system model	0000004176
substance-related and addictive disorders	0000004000
hierarchical Bayesian model	0000000575
dialectical behavior therapy	0000004187
reasonable accommodation	0000001455
gamma-aminobutyric acid	0000000969
Kaufman Assessment Battery for Children	0000001175
unbiased estimate of variance	0000004021
naturalistic observational method	0000001889
behavioral pharmacology	0000001430
vocational rehabilitation	0000002285
Baddeley Alan David	0000005100
applied behavior analysis	0000000458
behavioral rehearsal	0000001432
explanatory variable	0000000913
Talbot-Plateau law	0000002989
basal ganglia	0000002925
acceptance and commitment therapy	0000000033
precategorical acoustic storage	0000002711
occupational classification	0000002284
academic standard score	0000000682
special educational needs specialist	0000004933
health care facilities for the elderly requiring long-term care	0000004793
functional magnetic resonance imaging	0000000409
Commission Internationale de lEclairage	0000001470
two-factor theory of avoidance learning	0000000595
Ishihara pseudo-isochromatic plates	0000000165
Atkinson Richard Chatham	0000004982
Merleau-Ponty Maurice Jean Jacques	0000005171
hierarchical multiple regression analysis	0000000574
Lacan Jacques-Marie-Emile	0000005180
reticular formation activating system	0000004440
pragmatic reasoning schemas	0000001955
lexical functional grammar	0000001328
factorial invariance	0000000255
analysis of covariance	0000001066
grammatical category	0000004121
national character	0000001474
confirmatory factor analysis	0000000670
computational approach	0000001183
Spearman Charles Edward	0000005067
intradimensional discrimination training	0000001799
self-evaluation maintenance model	0000001855
generalized phrase structure grammar	0000000197
mathematical learning model	0000002499
paired-associates learning	0000003188
educational evaluation	0000001011
Luria Aleksandr Romanovich	0000005190
Lorenz Konrad Zacharias	0000005198
paradoxical sensation	0000004366
cultural adaptation	0000004101
