ADOS-2	0000000349
ADOS 2	0000000349
AA	0000000101	0000000324
ABA	0000000350	0000000458
GABA	0000000969
CA	0000002573
DA	0000003689
Wilkss lambda	0000000282
EDA	0000000204	0000003880
cochlea	0000000631
cornea	0000000672
preoptic area	0000001861
septal area	0000003084
visual area	0000001736
association area	0000004730
auditory sensation area	0000000724
motor area	0000000320
premotor area	0000000316
supplementary motor area	0000004252
Brocas area	0000004071
Wernickes area	0000000294
sensory area	0000000789
somatosensory area	0000002909
gustatory area	0000004330
chorea	0000004011
central fovea	0000003094
PFA	0000001597
coefficient alpha	0000000109
agoraphobia	0000003927
specific phobia	0000001257
neophobia	0000003570
hypermedia	0000003619
mass media	0000004298
nostalgia	0000003472
agraphia	0000001934
echolalia	0000000365
coprolalia	0000000469
qualia	0000001116
basal ganglia	0000002925
MIA	0000002623
athymia	0000000816
immodithymia	0000002108
alexithymia	0000000113
cyclothymia	0000002177
schizothymia	0000004132
kleptomania	0000002686
neurasthenia	0000002356
schizophrenia	0000003332
Schedule for Affective Disorders and Schizophrenia	0000000371
catatonia	0000001099
autonomic dystonia	0000002313
nyctalopia	0000004496
diplopia	0000003979
amblyopia	0000002036
Montessori Maria	0000005175
hypochondria	0000003881
exclusion criteria	0000002269
eligibility criteria	0000003252
hysteria	0000003846
gender dysphoria	0000002658
phenylketonuria	0000003956
aphasia	0000001929
primary progressive aphasia	0000001321
anesthesia	0000000783
cenesthesia	0000002875
synesthesia	0000001029
sound-color synesthesia	0000001773
grapheme-color synesthesia	0000001770
amnesia	0000001324
infantile amnesia	0000004549
dissociative amnesia	0000000609
paramnesia	0000000867	0000003186
hypermnesia	0000000865
agnosia	0000001947
visual spatial agnosia	0000001779
visual agnosia	0000001724
prosopagnosia	0000002814
color agnosia	0000001766
auditory agnosia	0000003118
asomatognosia	0000002405
dysgeusia	0000004326
amusia	0000001906
apraxia	0000001928
ideational apraxia	0000000847
ataxia	0000000313
dyslexia	0000003227
amygdala	0000004194
adrenal medulla	0000003981
Spearman-Brown formula	0000002550
insula	0000003304
MA	0000002615
psychodrama	0000001594
schema	0000001707	0000002504
self-schema	0000002699
gender schema	0000001713
baby schema	0000004168
anticipatory schema	0000004559
stigma	0000002527
technological stigma	0000003952
bronchial asthma	0000000897
anima	0000000074
social dilemma	0000002020
prisoners dilemma	0000002072
scotoma	0000000123
SMA	0000004252
charisma	0000000764
DNA	0000003209
null-subject phenomena	0000001111
retina	0000004433
Freud Anna	0000005129
RNA	0000000093
mRNA	0000004403
メッセンジャーRNA	0000004403
伝令RNA	0000003303
SOA	0000000379
IPA	0000002788
